id;F1;CodF1;F2a;F2b;F3_1;F4;F5;F6;F7;F8;A1;A2_1;A2_2;A2_3;A2_4;A3a_1;A3a_2;A4_1;A4_2;A4_3;A4_4;A4_5;A4_6;A4_7;A4_8;A4_9;A4_10;A4_11;A4_12;A4_13;A5;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;A6_11;A7_1;A7_2;A7_3;A7_4;A7_5;A7_6;A7_7;A7_8;A7_9;A7_10;A7_11;B1_1;B1_2;B1_3;B1_4;B1_5;B1_6;B1_7;B1_8;B1_9;B1_10;B1_11;B2_1;B2_2;B2_3;B3_1;B3_2;B3_3;B3_4;B3_5;B3_6;B4_1;B4_2;B4_3;B4_4
2164;19;2;2;2;Murcia;2;3;3;2;1;2;1;0;1;0;Free fire;Roblox;5;4;5;4;5;3;5;5;4;5;4;5;4;7;4;5;4;4;4;5;5;5;4;4;5;5;4;4;5;5;5;5;4;5;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2163;18;2;2;2;Alicante;2;2;3;1;1;1;1;0;1;0;Monopolio;Mario;5;4;5;5;5;3;1;1;1;3;3;4;4;2;3;3;1;2;1;1;1;1;1;1;1;2;5;5;5;3;5;4;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2156;17;2;2;2;ALMERÍA;3;5;3;1;1;4;1;1;1;0;ANIMAL CROSSING: NEW HORIZONS;PAPERS PLEASE;1;5;2;1;4;4;4;2;4;5;4;5;5;3;4;2;5;4;4;5;4;2;4;2;4;4;4;5;2;4;5;2;4;4;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2151;18;2;2;2;Valencia;2;5;3;1;1;1;0;0;1;0;BlockBlast;2048;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2149;17;2;2;2;Alicante;2;4;3;1;1;4;1;0;1;0;Overwatch;Zenless Zone Zero;5;4;5;4;5;3;5;1;5;3;4;3;3;4;4;2;2;2;4;5;5;5;5;5;2;5;5;5;5;4;5;2;5;5;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2143;17;2;1;1;Beniganim;2;2;3;1;1;1;0;0;1;0;Brawl star;Bus simulator;3;4;4;2;5;4;1;1;1;4;4;2;2;8;4;3;4;3;2;4;1;4;5;5;3;3;3;4;3;2;3;5;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2127;19;2;1;1;Malaga;3;5;3;1;1;3;0;1;1;0;Bralw star;Gta5;5;4;3;4;4;4;1;4;1;5;4;3;4;1;3;4;3;2;2;2;4;2;5;2;2;2;2;2;4;1;4;5;3;4;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2125;18;2;2;2;Elche;2;5;3;1;1;3;1;0;1;0;the forest;gta v;4;4;3;2;4;4;1;2;1;4;5;5;4;1;4;3;1;1;1;1;1;1;4;1;1;1;5;5;5;3;5;4;4;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2124;18;2;2;2;Elda;2;4;3;1;1;2;1;1;0;0;Minecraft;Phasmofobia;5;4;5;4;3;4;4;2;1;4;5;5;5;5;5;4;3;1;1;2;4;3;4;3;4;5;5;5;4;4;3;4;5;2;5;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2121;17;2;2;2;Totana;2;4;2;1;2; ;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;4;2;2;3;2;3;2;3;4;4;4;4;2;3;2;3;2;4;1;4;2;2
